# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
221           	1.678656e-03	4.459984e-01	9.007837e-02	4.536705e-03	8.742197e-04
222           	1.623468e-03	2.626013e-01	4.033194e-01	7.597411e-03	1.497170e-03
223           	1.926161e-03	4.501438e-01	2.103089e-01	4.502046e-03	1.501447e-03
224           	1.689736e-03	4.860566e-01	7.360560e-02	4.206584e-03	9.876214e-04
225           	1.555587e-03	2.701596e-01	7.320602e-01	8.731493e-03	1.739968e-03
226           	1.969812e-03	5.120396e-01	1.106789e-01	3.443533e-03	1.468080e-03
227           	1.561247e-03	4.985622e-01	8.269522e-02	4.518921e-03	8.408793e-04
228           	1.502868e-03	2.696954e-01	3.776032e-01	7.583426e-03	1.473533e-03
229           	1.809555e-03	5.171167e-01	1.945625e-01	4.476814e-03	1.475083e-03
230           	1.575865e-03	5.070954e-01	7.305633e-02	4.177340e-03	9.546857e-04
231           	1.437260e-03	2.813577e-01	7.187929e-01	8.710327e-03	1.718101e-03
232           	1.856418e-03	5.517709e-01	1.079658e-01	3.404364e-03	1.438780e-03
233           	1.451091e-03	5.052395e-01	8.215431e-02	4.479869e-03	8.071144e-04
234           	1.390026e-03	2.771661e-01	4.265523e-01	7.538726e-03	1.447542e-03
235           	1.700379e-03	5.440894e-01	1.801504e-01	4.431705e-03	1.446489e-03
236           	1.471095e-03	5.101919e-01	7.295764e-02	4.129982e-03	9.205830e-04
237           	1.327651e-03	2.935905e-01	5.271565e-01	8.653567e-03	1.693942e-03
238           	1.751294e-03	5.789506e-01	1.051243e-01	3.350271e-03	1.408490e-03
239           	1.347493e-03	5.038372e-01	8.236267e-02	7.583466e-03	1.515411e-03
240           	1.597748e-03	3.072046e-01	9.442145e-01	4.729173e-03	1.413010e-03
241           	1.404902e-03	6.628967e-01	7.050171e-02	4.503046e-03	8.864368e-04
242           	1.300349e-03	4.056123e-01	1.409717e-01	8.236811e-03	1.600443e-03
243           	1.637537e-03	4.331061e-01	1.523206e-01	3.540383e-03	1.327593e-03
244           	1.271587e-03	6.266312e-01	5.650131e-02	7.667739e-03	1.485559e-03
245           	1.526711e-03	3.126415e-01	3.710353e-01	4.745497e-03	1.390966e-03
246           	1.334459e-03	6.686530e-01	8.856096e-02	4.501522e-03	8.619205e-04
247           	1.230759e-03	5.146326e-01	1.260170e-01	8.189652e-03	1.579085e-03
248           	1.556791e-03	3.375603e-01	1.817519e-01	3.505925e-03	1.304431e-03
249           	1.196997e-03	6.500254e-01	5.868142e-02	7.613860e-03	1.463479e-03
